,data_index,cluster,centroid,c
0,1,1,"[-0.13428919683584095, -0.3492048371594071]",#2095DF
1,2,1,"[-0.13428919683584095, -0.3492048371594071]",#2095DF
2,3,1,"[-0.13428919683584095, -0.3492048371594071]",#2095DF
3,4,1,"[-0.13428919683584095, -0.3492048371594071]",#2095DF
4,5,0,"[0.27865427168753537, -0.11616080116918412]",#DF2020
5,6,0,"[0.27865427168753537, -0.11616080116918412]",#DF2020
6,7,0,"[0.27865427168753537, -0.11616080116918412]",#DF2020
7,8,0,"[0.27865427168753537, -0.11616080116918412]",#DF2020
8,9,0,"[0.27865427168753537, -0.11616080116918412]",#DF2020
9,10,0,"[0.27865427168753537, -0.11616080116918412]",#DF2020
10,11,1,"[-0.13428919683584095, -0.3492048371594071]",#2095DF
11,12,0,"[0.27865427168753537, -0.11616080116918412]",#DF2020
12,13,0,"[0.27865427168753537, -0.11616080116918412]",#DF2020
13,14,1,"[-0.13428919683584095, -0.3492048371594071]",#2095DF
14,15,0,"[0.27865427168753537, -0.11616080116918412]",#DF2020
